"precinct","town","total.pop","p.white","p.black","p.aian","p.asian","p.nhpi","p.other","p.multi","p.hisp","edupop","lesshs","hs","scol","bach","graddeg","p.colgrad","p.owner","p.renter","p.poverty","medinc","pres.score.g16","gov.score.g18","pres.score.g20"
"Alden 1","Alden",1172,96.93,0.34,0,1.02,0,0,0.68,1.19,939,57,363,263,176,83,27.48,79.95,20.14,5.97,79317,33.68,34.47,38.84
"Alden 2","Alden",1278,94.91,3.44,0,1.25,0,0,0.31,0.16,967,83,375,348,109,54,16.86,95.22,4.78,5.01,84590,22.82,23.14,24.8
"Alden 3","Alden",573,94.94,3.49,0,1.22,0,0,0.35,0.17,434,37,168,156,49,25,17.05,95.1,4.9,5.06,96963,29.22,25.12,33.09
"Alden 4","Alden",1952,78.28,17.11,0.51,0.82,0,0,0.31,3.12,1637,372,670,418,118,61,10.93,95.22,4.78,3.28,77457,22.48,22.73,27.27
"Alden 5","Alden",1750,82.23,13.83,0.4,0.91,0,0.06,0.34,2.46,1433,280,579,399,117,60,12.28,95.26,4.81,3.71,83461,24.9,24.76,26.3
"Alden 6","Alden",1441,96.95,0.28,0,1.04,0,0,0.62,1.25,1155,70,447,323,216,102,27.53,79.92,20.15,5.97,79318,31.73,34.36,36.13
"Alden 7","Alden",1661,94.64,3.73,0.06,1.2,0,0,0.3,0.18,1259,112,488,450,141,70,16.68,95.26,4.74,4.94,79318,22.77,24.36,23.96
"Amherst 1","Amherst",1435,90.66,2.02,0.07,0.56,0,0.07,4.6,2.23,1193,79,164,251,330,371,58.76,83.32,16.68,3.28,84462,59.75,61.31,65.97
"Amherst 2","Amherst",947,90.18,2.53,0,0.53,0,0.11,4.86,2.11,772,54,110,171,209,229,56.74,83.19,16.81,3.8,92620,56.35,53.47,61.79
"Amherst 3","Amherst",541,87.99,1.85,0.18,4.07,0,0,3.33,3.33,457,25,65,116,122,130,55.14,75.1,24.9,5.91,95460,61.02,64.19,64.45
"Amherst 4","Amherst",938,89.45,1.92,0.11,2.13,0,0.11,3.94,2.77,787,48,110,180,215,237,57.43,79.74,20.26,4.37,89383,52.8,57.14,64.05
"Amherst 5","Amherst",3123,88.28,0.93,0.03,2.5,0,0.03,5.51,2.82,2620,195,358,782,683,605,49.12,74.7,25.3,6.47,89031,45.41,49,55.99
"Amherst 6","Amherst",2307,87.3,4.51,0.04,1.39,0,0.09,5.16,1.69,1736,141,289,496,420,392,46.72,79.76,20.24,7.02,86191,54.12,54.39,59.44
"Amherst 7","Amherst",1433,86.67,4.95,0,1.61,0,0.07,5.23,1.61,1056,90,183,321,247,218,44.03,78.97,21.1,7.82,77228,53.44,49.7,59.26
"Amherst 8","Amherst",1399,86.56,4.65,0.71,1.5,0,0.07,5.15,1.57,1034,79,165,299,249,243,47.58,80.18,19.82,7.08,80690,55.94,56.82,64.64
"Amherst 9","Amherst",1244,85.29,3.54,4.42,0.88,0.08,0.08,4.34,1.69,941,22,70,185,283,383,70.78,89.54,10.54,2.09,102419,64.72,66.37,70.73
